Country,Subject Descriptor,Units,1990,1995,2000,2005,2010,2015
Dominican Republic,"Gross domestic product, deflator",Index,13.158,27.87,37.493,87.119,120.473,153.125
Dominican Republic,"Gross domestic product per capita, constant prices",National currency,"82,580.95","98,870.41","124,914.25","138,672.26","173,673.57","209,763.30"
Dominican Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,"6,216.83","7,443.12","9,403.75","10,439.47","13,074.43","15,791.32"
Dominican Republic,"Gross domestic product per capita, current prices",National currency,"10,866.33","27,555.46","46,834.04","120,810.39","209,229.12","321,200.11"
Dominican Republic,"Gross domestic product per capita, current prices",U.S. dollars,"1,123.24","2,141.06","2,894.30","4,008.36","5,688.75","7,139.51"
Dominican Republic,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,"3,672.37","4,962.82","6,811.55","8,480.45","11,672.26","15,186.04"
Dominican Republic,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,
Dominican Republic,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.095,0.1,0.114,0.112,0.123,0.136
Dominican Republic,Implied PPP conversion rate,National currency per current international dollar,2.959,5.552,6.876,14.246,17.925,21.151
Dominican Republic,Total investment,Percent of GDP,20.833,20.05,27.893,24.773,26.38,23.442
Dominican Republic,Gross national savings,Percent of GDP,14.512,18.951,23.669,23.458,18.918,21.645
Dominican Republic,"Inflation, average consumer prices",Index,8.455,16.625,22.817,52.577,71.647,87.733
Dominican Republic,"Inflation, average consumer prices",Percent change,50.463,12.536,7.723,4.19,6.33,0.837
Dominican Republic,"Inflation, end of period consumer prices",Index,11.884,17.306,24.084,54.819,73.598,88.995
Dominican Republic,"Inflation, end of period consumer prices",Percent change,79.919,9.216,9.019,7.437,6.238,2.344
Dominican Republic,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
Dominican Republic,Volume of imports of goods and services,Percent change,,1.947,9.59,15.444,34.614,18.931
Dominican Republic,Volume of Imports of goods,Percent change,,2.505,10.029,15.406,35.038,19.214
Dominican Republic,Volume of exports of goods and services,Percent change,-7.899,6.987,14.455,3.737,38.869,8.145
Dominican Republic,Volume of exports of goods,Percent change,-21.474,9.345,16.3,0.668,99.627,2.97
Dominican Republic,Unemployment rate,Percent of total labor force,,7.287,8.05,8.237,6.52,7.328
Dominican Republic,Employment,Persons,,,,,,
Dominican Republic,Population,Persons,7.118,7.771,8.398,8.968,9.479,9.98
Dominican Republic,General government revenue,National currency,,,51.692,159.706,259.204,533.683
Dominican Republic,General government revenue,Percent of GDP,,,13.143,14.741,13.07,16.648
Dominican Republic,General government total expenditure,National currency,,,57.179,164.072,313.323,534.74
Dominican Republic,General government total expenditure,Percent of GDP,,,14.538,15.144,15.799,16.681
Dominican Republic,General government net lending/borrowing,National currency,,,-5.487,-4.366,-54.119,-1.058
Dominican Republic,General government net lending/borrowing,Percent of GDP,,,-1.395,-0.403,-2.729,-0.033
Dominican Republic,General government structural balance,National currency,,,-7.745,-4.46,-62.657,62.207
Dominican Republic,General government structural balance,Percent of potential GDP,,,-2.011,-0.406,-3.212,1.941
Dominican Republic,General government primary net lending/borrowing,National currency,,,-2.746,8.947,-18.322,73.098
Dominican Republic,General government primary net lending/borrowing,Percent of GDP,,,-0.698,0.826,-0.924,2.28
Dominican Republic,General government net debt,National currency,,,,351.028,599.304,"1,200.50"
Dominican Republic,General government net debt,Percent of GDP,,,,32.399,30.219,37.45
Dominican Republic,General government gross debt,National currency,,,65.71,415.193,739.95,"1,440.02"
Dominican Republic,General government gross debt,Percent of GDP,,,16.707,38.322,37.311,44.921
Dominican Republic,"Gross domestic product corresponding to fiscal year, current prices",National currency,77.344,214.123,393.303,"1,083.45","1,983.20","3,205.66"
Dominican Republic,Current account balance,U.S. dollars,-0.28,-0.183,-1.027,-0.473,-4.024,-1.28
Dominican Republic,Current account balance,Percent of GDP,-3.497,-1.099,-4.223,-1.316,-7.462,-1.797
Ecuador,"Gross domestic product, constant prices",National currency,30.181,35.744,37.726,47.809,56.481,70.175
Ecuador,"Gross domestic product, constant prices",Percent change,3.008,2.253,1.092,5.291,3.525,0.099
Ecuador,"Gross domestic product, current prices",National currency,12.236,22.968,18.319,41.507,69.555,99.29
Ecuador,"Gross domestic product, current prices",U.S. dollars,12.236,22.968,18.319,41.507,69.555,99.29
Ecuador,"Gross domestic product, current prices",Purchasing power parity; international dollars,48.253,64.503,73.96,105.113,136.471,179.31
Ecuador,"Gross domestic product, deflator",Index,40.541,64.258,48.556,86.818,123.148,141.49
Ecuador,"Gross domestic product per capita, constant prices",National currency,"2,893.66","3,081.91","3,010.60","3,484.32","3,762.34","4,310.79"
Ecuador,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,"7,952.79","8,470.16","8,274.16","9,576.10","10,340.20","11,847.54"
Ecuador,"Gross domestic product per capita, current prices",National currency,"1,173.13","1,980.37","1,461.84","3,025.01","4,633.25","6,099.35"
Ecuador,"Gross domestic product per capita, current prices",U.S. dollars,"1,173.13","1,980.37","1,461.84","3,025.01","4,633.25","6,099.35"
Ecuador,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,"4,626.26","5,561.57","5,902.03","7,660.58","9,090.63","11,014.89"
Ecuador,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,
Ecuador,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.175,0.168,0.147,0.154,0.152,0.161
Ecuador,Implied PPP conversion rate,National currency per current international dollar,0.254,0.356,0.248,0.395,0.51,0.554
Ecuador,Total investment,Percent of GDP,14.614,17.226,21.279,21.637,28.037,26.87
Ecuador,Gross national savings,Percent of GDP,12.194,12.888,27.352,22.779,25.762,24.633
Ecuador,"Inflation, average consumer prices",Index,1.128,5.884,38.833,68.133,84.972,103.22
Ecuador,"Inflation, average consumer prices",Percent change,48.519,22.886,96.1,2.17,3.554,3.966
Ecuador,"Inflation, end of period consumer prices",Index,1.32,6.405,46.25,69.057,86.095,104.046
Ecuador,"Inflation, end of period consumer prices",Percent change,49.5,22.774,91.005,3.132,3.328,3.38
Ecuador,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
Ecuador,Volume of imports of goods and services,Percent change,-0.839,7.949,12.822,13.162,14.293,-7.82
Ecuador,Volume of Imports of goods,Percent change,-1.442,16.223,19.133,14.18,14.428,-7.503
Ecuador,Volume of exports of goods and services,Percent change,3.104,11.26,2.536,7.521,1.112,-0.435
Ecuador,Volume of exports of goods,Percent change,4.189,11.357,2.923,8.27,0.724,-0.299
Ecuador,Unemployment rate,Percent of total labor force,6.1,5.493,7.625,7.095,5.02,4.77
Ecuador,Employment,Persons,,,,,,
Ecuador,Population,Persons,10.43,11.598,12.531,13.721,15.012,16.279
Ecuador,General government revenue,National currency,,4.38,4.197,9.146,23.178,33.322
Ecuador,General government revenue,Percent of GDP,,19.071,22.909,22.034,33.324,33.56
Ecuador,General government total expenditure,National currency,,4.825,4.253,8.88,24.123,39.398
Ecuador,General government total expenditure,Percent of GDP,,21.008,23.216,21.393,34.681,39.679
Ecuador,General government net lending/borrowing,National currency,,-0.445,-0.056,0.266,-0.944,-6.076
Ecuador,General government net lending/borrowing,Percent of GDP,,-1.937,-0.307,0.641,-1.357,-6.119
Ecuador,General government structural balance,National currency,,,,0.179,-0.244,-6.596
Ecuador,General government structural balance,Percent of potential GDP,,,,0.437,-0.34,-6.69
Ecuador,General government primary net lending/borrowing,National currency,,0.375,1.001,1.073,-0.531,-4.655
Ecuador,General government primary net lending/borrowing,Percent of GDP,,1.633,5.464,2.585,-0.764,-4.688
Ecuador,General government net debt,National currency,,,,,,
Ecuador,General government net debt,Percent of GDP,,,,,,
Ecuador,General government gross debt,National currency,,,,14.403,12.308,33.558
Ecuador,General government gross debt,Percent of GDP,,,,34.7,17.696,33.798
Ecuador,"Gross domestic product corresponding to fiscal year, current prices",National currency,12.236,22.968,18.319,41.507,69.555,99.29
Ecuador,Current account balance,U.S. dollars,-0.36,-1,1.113,0.474,-1.582,-2.221
Ecuador,Current account balance,Percent of GDP,-2.942,-4.354,6.074,1.142,-2.275,-2.237
Egypt,"Gross domestic product, constant prices",National currency,"1,116.64","1,280.92","1,711.16","2,051.26","2,767.98","3,195.19"
Egypt,"Gross domestic product, constant prices",Percent change,2.35,4.484,5.383,4.472,5.147,4.372
Egypt,"Gross domestic product, current prices",National currency,101.047,214.501,357.607,566.22,"1,268.71","2,443.90"
Egypt,"Gross domestic product, current prices",U.S. dollars,96.087,63.25,104.752,94.127,230.024,332.075
Egypt,"Gross domestic product, current prices",Purchasing power parity; international dollars,221.218,286.433,415.688,558.844,828.753,"1,064.24"
Egypt,"Gross domestic product, deflator",Index,9.049,16.746,20.898,27.604,45.835,76.487
Egypt,"Gross domestic product per capita, constant prices",National currency,"21,741.27","22,238.11","26,736.93","29,013.55","35,171.25","35,900.99"
Egypt,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,"6,655.62","6,807.72","8,184.93","8,881.87","10,766.92","10,990.31"
Egypt,"Gross domestic product per capita, current prices",National currency,"1,967.41","3,723.98","5,587.61","8,008.77","16,120.85","27,459.55"
Egypt,"Gross domestic product per capita, current prices",U.S. dollars,"1,870.85","1,098.09","1,636.75","1,331.36","2,922.80","3,731.18"
Egypt,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,"4,307.18","4,972.80","6,495.12","7,904.45","10,530.54","11,957.71"
Egypt,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,
Egypt,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.803,0.744,0.826,0.819,0.923,0.956
Egypt,Implied PPP conversion rate,National currency per current international dollar,0.457,0.749,0.86,1.013,1.531,2.296
Egypt,Total investment,Percent of GDP,27.413,16.317,18.596,21.205,21.298,14.289
Egypt,Gross national savings,Percent of GDP,21.165,20.622,17.486,24.297,19.421,10.632
Egypt,"Inflation, average consumer prices",Index,6.761,12.444,15.858,20.192,33.842,53.367
Egypt,"Inflation, average consumer prices",Percent change,21.219,9.361,2.849,8.703,11.658,10.988
Egypt,"Inflation, end of period consumer prices",Index,7.284,12.949,16,20.5,34.7,55.1
Egypt,"Inflation, end of period consumer prices",Percent change,21.38,9.725,2.542,4.592,10.159,11.313
Egypt,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
Egypt,Volume of imports of goods and services,Percent change,5.332,-44.223,-1.799,16.164,-7.684,20.092
Egypt,Volume of Imports of goods,Percent change,10.606,10.664,-0.451,19.4,-6.628,18.454
Egypt,Volume of exports of goods and services,Percent change,7.179,10.562,8.989,8.424,-2.129,19.245
Egypt,Volume of exports of goods,Percent change,-3.553,18.906,15.818,8.737,-9.122,8.837
Egypt,Unemployment rate,Percent of total labor force,8.044,11.176,8.995,11.468,9.21,12.859
Egypt,Employment,Persons,,,,,,
Egypt,Population,Persons,51.36,57.6,64,70.7,78.7,89
Egypt,General government revenue,National currency,,,97.672,133.756,303.36,538.4
Egypt,General government revenue,Percent of GDP,,,27.313,23.623,23.911,22.03
Egypt,General government total expenditure,National currency,,,92.951,171.621,397.839,805.616
Egypt,General government total expenditure,Percent of GDP,,,25.992,30.31,31.358,32.964
Egypt,General government net lending/borrowing,National currency,,,4.721,-37.865,-94.479,-267.216
Egypt,General government net lending/borrowing,Percent of GDP,,,1.32,-6.687,-7.447,-10.934
Egypt,General government structural balance,National currency,,,,-45.269,-104.984,-279.282
Egypt,General government structural balance,Percent of potential GDP,,,,,-8.585,-11.428
Egypt,General government primary net lending/borrowing,National currency,,,21.024,-13.003,-40.081,-100.696
Egypt,General government primary net lending/borrowing,Percent of GDP,,,5.879,-2.297,-3.159,-4.12
Egypt,General government net debt,National currency,,,161.965,382.684,724.359,"1,926.74"
Egypt,General government net debt,Percent of GDP,,,45.291,67.586,57.094,78.839
Egypt,General government gross debt,National currency,,,256.359,556.382,882.89,"2,158.08"
Egypt,General government gross debt,Percent of GDP,,,71.687,98.263,69.59,88.305
Egypt,"Gross domestic product corresponding to fiscal year, current prices",National currency,101.047,214.501,357.607,566.22,"1,268.71","2,443.90"
Egypt,Current account balance,U.S. dollars,-2.593,0.387,-1.163,2.911,-4.318,-12.143
Egypt,Current account balance,Percent of GDP,-2.699,0.611,-1.11,3.092,-1.877,-3.657
El Salvador,"Gross domestic product, constant prices",National currency,12.516,15.774,17.394,18.758,20.356,23.135
El Salvador,"Gross domestic product, constant prices",Percent change,4.831,4.733,1.126,2.709,2.105,2.397
El Salvador,"Gross domestic product, current prices",National currency,4.818,8.922,11.785,14.698,18.448,23.438
El Salvador,"Gross domestic product, current prices",U.S. dollars,4.818,8.922,11.785,14.698,18.448,23.438
El Salvador,"Gross domestic product, current prices",Purchasing power parity; international dollars,15.416,21.93,26.271,31.774,37.893,48.056
El Salvador,"Gross domestic product, deflator",Index,38.492,56.562,67.752,78.355,90.626,101.31
El Salvador,"Gross domestic product per capita, constant prices",National currency,"2,374.85","2,802.41","2,954.20","3,099.45","3,291.81","3,657.66"
El Salvador,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,"5,287.24","6,239.13","6,577.07","6,900.44","7,328.72","8,143.22"
El Salvador,"Gross domestic product per capita, current prices",National currency,914.131,"1,585.11","2,001.54","2,428.57","2,983.23","3,705.58"
El Salvador,"Gross domestic product per capita, current prices",U.S. dollars,914.131,"1,585.11","2,001.54","2,428.57","2,983.23","3,705.58"
El Salvador,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,"2,925.15","3,896.17","4,461.89","5,249.99","6,127.76","7,597.69"
El Salvador,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,
El Salvador,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.056,0.057,0.052,0.047,0.042,0.043
El Salvador,Implied PPP conversion rate,National currency per current international dollar,0.313,0.407,0.449,0.463,0.487,0.488
El Salvador,Total investment,Percent of GDP,13.813,20.944,17.669,18.605,16.672,16.017
El Salvador,Gross national savings,Percent of GDP,11.556,19.509,15.715,16.734,13.783,12.801
El Salvador,"Inflation, average consumer prices",Index,32.52,59.668,72.16,85.162,101.093,109.373
El Salvador,"Inflation, average consumer prices",Percent change,28.294,10.03,2.274,4.69,1.179,-0.731
El Salvador,"Inflation, end of period consumer prices",Index,34.8,62.32,73.36,86.14,102.13,110.61
El Salvador,"Inflation, end of period consumer prices",Percent change,19.333,11.385,4.293,4.26,2.13,1.014
El Salvador,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
El Salvador,Volume of imports of goods and services,Percent change,-7.248,13.212,14.033,2.961,7.943,13.265
El Salvador,Volume of Imports of goods,Percent change,-2.014,12.986,14.766,9.181,8.364,13.197
El Salvador,Volume of exports of goods and services,Percent change,10.085,10.359,13.155,3.17,13.254,4.199
El Salvador,Volume of exports of goods,Percent change,56.947,28.52,11.858,29.697,13.993,3.075
El Salvador,Unemployment rate,Percent of total labor force,10,7.6,6.7,7.2,7,7
El Salvador,Employment,Persons,,,,,,
El Salvador,Population,Persons,5.27,5.629,5.888,6.052,6.184,6.325
El Salvador,General government revenue,National currency,0.735,1.64,2.064,2.786,3.805,5.502
El Salvador,General government revenue,Percent of GDP,15.264,18.387,17.517,18.956,20.624,23.475
El Salvador,General government total expenditure,National currency,0.765,1.656,2.47,3.297,4.721,6.354
El Salvador,General government total expenditure,Percent of GDP,15.877,18.564,20.963,22.429,25.59,27.108
El Salvador,General government net lending/borrowing,National currency,-0.03,-0.016,-0.406,-0.51,-0.916,-0.851
El Salvador,General government net lending/borrowing,Percent of GDP,-0.613,-0.177,-3.446,-3.473,-4.965,-3.632
El Salvador,General government structural balance,National currency,,,-0.212,-0.496,-0.862,-0.846
El Salvador,General government structural balance,Percent of potential GDP,,,-1.804,-3.35,-4.597,-3.608
El Salvador,General government primary net lending/borrowing,National currency,0.052,0.141,-0.203,-0.132,-0.408,-0.212
El Salvador,General government primary net lending/borrowing,Percent of GDP,1.077,1.576,-1.721,-0.901,-2.212,-0.902
El Salvador,General government net debt,National currency,,,,,,
El Salvador,General government net debt,Percent of GDP,,,,,,
El Salvador,General government gross debt,National currency,,2.502,3.483,6.803,11.077,15.713
El Salvador,General government gross debt,Percent of GDP,,28.041,29.551,46.287,60.042,67.038
El Salvador,"Gross domestic product corresponding to fiscal year, current prices",National currency,4.818,8.922,11.785,14.698,18.448,23.438
El Salvador,Current account balance,U.S. dollars,-0.152,-0.262,-0.431,-0.622,-0.533,-0.754
El Salvador,Current account balance,Percent of GDP,-3.15,-2.932,-3.653,-4.229,-2.888,-3.216
Equatorial Guinea,"Gross domestic product, constant prices",National currency,59.429,127.414,"1,601.97","4,952.20","6,610.81","6,673.67"
Equatorial Guinea,"Gross domestic product, constant prices",Percent change,2.537,26.51,110.505,8.21,-8.924,-9.11
Equatorial Guinea,"Gross domestic product, current prices",National currency,36.271,84.131,822.85,"4,316.63","8,072.29","7,795.42"
Equatorial Guinea,"Gross domestic product, current prices",U.S. dollars,0.133,0.169,1.159,8.187,16.314,13.185
Equatorial Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,0.185,0.448,6.117,21.207,31.111,28.095
Equatorial Guinea,"Gross domestic product, deflator",Index,61.033,66.03,51.365,87.166,122.108,116.809
Equatorial Guinea,"Gross domestic product per capita, constant prices",National currency,"139,227.27","252,369.31","2,607,702.56","6,539,132.75","6,950,667.86","5,677,839.44"
Equatorial Guinea,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,690.254,"1,251.18","12,928.33","32,419.37","34,459.66","28,149.29"
Equatorial Guinea,"Gross domestic product per capita, current prices",National currency,"84,974.44","166,638.81","1,339,441.73","5,699,897.56","8,487,287.41","6,632,203.96"
Equatorial Guinea,"Gross domestic product per capita, current prices",U.S. dollars,312.102,333.846,"1,885.99","10,810.45","17,153.17","11,217.99"
Equatorial Guinea,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,433.545,887.035,"9,957.14","28,002.18","32,710.74","23,902.97"
Equatorial Guinea,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,
Equatorial Guinea,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.001,0.001,0.012,0.031,0.035,0.025
Equatorial Guinea,Implied PPP conversion rate,National currency per current international dollar,195.999,187.86,134.521,203.552,259.465,277.464
Equatorial Guinea,Total investment,Percent of GDP,54.355,78.15,60.229,28.897,38.056,24.701
Equatorial Guinea,Gross national savings,Percent of GDP,53.408,5.579,51.667,22.488,17.812,8.266
Equatorial Guinea,"Inflation, average consumer prices",Index,34.155,52.62,64.363,88.981,111.362,132.114
Equatorial Guinea,"Inflation, average consumer prices",Percent change,0.922,19.872,4.836,5.637,5.32,1.695
Equatorial Guinea,"Inflation, end of period consumer prices",Index,33.668,54.02,64.39,88.046,110.697,130.187
Equatorial Guinea,"Inflation, end of period consumer prices",Percent change,6.985,11.698,6.616,3.163,5.429,1.603
Equatorial Guinea,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
Equatorial Guinea,Volume of imports of goods and services,Percent change,11.646,-45.982,-35.725,107.891,29.52,-15.453
Equatorial Guinea,Volume of Imports of goods,Percent change,14.541,-45.38,-33.617,106.772,42.978,-15.835
Equatorial Guinea,Volume of exports of goods and services,Percent change,12.762,106.004,-11.996,48.573,0.381,0.996
Equatorial Guinea,Volume of exports of goods,Percent change,18.744,107.535,-11.148,48.769,0.188,-2.411
Equatorial Guinea,Unemployment rate,Percent of total labor force,,,,,,
Equatorial Guinea,Employment,Persons,,,,,,
Equatorial Guinea,Population,Persons,0.427,0.505,0.614,0.757,0.951,1.175
Equatorial Guinea,General government revenue,National currency,19.132,15.215,164.389,"1,410.19","2,150.93","2,063.74"
Equatorial Guinea,General government revenue,Percent of GDP,52.746,18.085,19.978,32.669,26.646,26.474
Equatorial Guinea,General government total expenditure,National currency,77.232,119.047,186.337,609.587,"2,516.85","3,240.62"
Equatorial Guinea,General government total expenditure,Percent of GDP,212.931,141.501,22.645,14.122,31.179,41.571
Equatorial Guinea,General government net lending/borrowing,National currency,-58.101,-103.831,-21.948,800.602,-365.921,"-1,176.88"
Equatorial Guinea,General government net lending/borrowing,Percent of GDP,-160.185,-123.416,-2.667,18.547,-4.533,-15.097
Equatorial Guinea,General government structural balance,National currency,,,,,,
Equatorial Guinea,General government structural balance,Percent of potential GDP,,,,,,
Equatorial Guinea,General government primary net lending/borrowing,National currency,-55.742,-99.005,-18.259,802.78,-346.371,"-1,146.44"
Equatorial Guinea,General government primary net lending/borrowing,Percent of GDP,-153.683,-117.68,-2.219,18.597,-4.291,-14.707
Equatorial Guinea,General government net debt,National currency,,,301.389,122.975,637.236,911.389
Equatorial Guinea,General government net debt,Percent of GDP,,,36.627,2.849,7.894,11.691
Equatorial Guinea,General government gross debt,National currency,56.947,115.154,301.389,122.975,637.236,"2,467.77"
Equatorial Guinea,General government gross debt,Percent of GDP,157.004,136.874,36.627,2.849,7.894,31.657
Equatorial Guinea,"Gross domestic product corresponding to fiscal year, current prices",National currency,36.271,84.131,822.85,"4,316.63","8,072.29","7,795.42"
Equatorial Guinea,Current account balance,U.S. dollars,-0.019,-0.123,-0.352,1.376,-3.303,-2.167
Equatorial Guinea,Current account balance,Percent of GDP,-14.257,-73.215,-30.391,16.805,-20.244,-16.435
Eritrea,"Gross domestic product, constant prices",National currency,,20.977,22.117,25.098,25.256,30.105
Eritrea,"Gross domestic product, constant prices",Percent change,,2.325,-12.355,2.574,10.853,-20.621
Eritrea,"Gross domestic product, current prices",National currency,,3.052,5.262,13.064,24.439,30.953
Eritrea,"Gross domestic product, current prices",U.S. dollars,,0.483,0.547,0.85,1.59,2.016
Eritrea,"Gross domestic product, current prices",Purchasing power parity; international dollars,,2.525,2.893,3.681,4.071,5.312
Eritrea,"Gross domestic product, deflator",Index,,14.548,23.79,52.051,96.764,102.815
Eritrea,"Gross domestic product per capita, constant prices",National currency,,"9,517.63","9,649.56","8,878.04","7,967.22","9,005.47"
Eritrea,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,,"1,716.66","1,740.45","1,601.30","1,437.02","1,624.28"
Eritrea,"Gross domestic product per capita, current prices",National currency,,"1,384.65","2,295.64","4,621.09","7,709.40","9,259.02"
Eritrea,"Gross domestic product per capita, current prices",U.S. dollars,,219.091,238.508,300.697,501.424,603.193
Eritrea,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,,"1,145.87","1,262.07","1,302.24","1,284.31","1,589.08"
Eritrea,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,
Eritrea,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.007,0.006,0.005,0.005,0.005
Eritrea,Implied PPP conversion rate,National currency per current international dollar,,1.208,1.819,3.549,6.003,5.827
Eritrea,Total investment,Percent of GDP,,26.594,26.921,25.56,18.173,10.284
Eritrea,Gross national savings,Percent of GDP,,21.907,5.842,25.992,7.167,31.046
Eritrea,"Inflation, average consumer prices",Index,,61.41,100,231.319,525.209,872.494
Eritrea,"Inflation, average consumer prices",Percent change,,11.983,19.947,12.506,10.297,28.483
Eritrea,"Inflation, end of period consumer prices",Index,,58.622,100,224.261,476.394,919.208
Eritrea,"Inflation, end of period consumer prices",Percent change,,12.302,26.835,18.499,4.694,50.831
Eritrea,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
Eritrea,Volume of imports of goods and services,Percent change,,,-28.317,-19.903,-5.382,6.396
Eritrea,Volume of Imports of goods,Percent change,,,-15.982,-21.634,-6.838,6.698
Eritrea,Volume of exports of goods and services,Percent change,,,22.511,3.3,-5.856,-11.753
Eritrea,Volume of exports of goods,Percent change,,,-26.014,175.715,-5.856,-13.628
Eritrea,Unemployment rate,Percent of total labor force,,,,,,
Eritrea,Employment,Persons,,,,,,
Eritrea,Population,Persons,,2.204,2.292,2.827,3.17,3.343
Eritrea,General government revenue,National currency,,1.778,3.122,5.957,6.336,8.764
Eritrea,General government revenue,Percent of GDP,,58.261,59.342,45.599,25.928,28.315
Eritrea,General government total expenditure,National currency,,2.478,5.042,9.704,10.661,9.736
Eritrea,General government total expenditure,Percent of GDP,,81.196,95.823,74.282,43.622,31.455
Eritrea,General government net lending/borrowing,National currency,,-0.7,-1.92,-3.747,-4.324,-0.972
Eritrea,General government net lending/borrowing,Percent of GDP,,-22.935,-36.482,-28.683,-17.694,-3.139
Eritrea,General government structural balance,National currency,,,,,,
Eritrea,General government structural balance,Percent of potential GDP,,,,,,
Eritrea,General government primary net lending/borrowing,National currency,,-0.681,-1.745,-3.219,-3.301,-0.357
Eritrea,General government primary net lending/borrowing,Percent of GDP,,-22.312,-33.156,-24.641,-13.507,-1.152
Eritrea,General government net debt,National currency,,,,,,
Eritrea,General government net debt,Percent of GDP,,,,,,
Eritrea,General government gross debt,National currency,,,11.526,26.824,48.478,55.936
Eritrea,General government gross debt,Percent of GDP,,,219.06,205.332,198.365,180.712
Eritrea,"Gross domestic product corresponding to fiscal year, current prices",National currency,,3.052,5.262,13.064,24.439,30.953
Eritrea,Current account balance,U.S. dollars,,-0.023,-0.115,0.004,-0.175,0.419
Eritrea,Current account balance,Percent of GDP,,-4.687,-21.079,0.432,-11.006,20.762
Estonia,"Gross domestic product, constant prices",National currency,,9.242,12.541,17.866,17.504,20.631
Estonia,"Gross domestic product, constant prices",Percent change,,2.155,10.088,9.524,2.444,1.853
Estonia,"Gross domestic product, current prices",National currency,,2.862,6.172,11.343,14.741,20.631
Estonia,"Gross domestic product, current prices",U.S. dollars,,3.909,5.707,14.126,19.568,22.893
Estonia,"Gross domestic product, current prices",Purchasing power parity; international dollars,,11.741,17.307,27.651,29.772,38.389
Estonia,"Gross domestic product, deflator",Index,,30.963,49.212,63.492,84.217,100
Estonia,"Gross domestic product per capita, constant prices",National currency,,"6,433.15","8,977.20","13,187.22","13,146.16","15,684.40"
Estonia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,,"12,761.52","17,808.19","26,159.65","26,078.19","31,113.33"
Estonia,"Gross domestic product per capita, current prices",National currency,,"1,991.91","4,417.84","8,372.81","11,071.26","15,684.40"
Estonia,"Gross domestic product per capita, current prices",U.S. dollars,,"2,721.01","4,084.94","10,426.69","14,696.81","17,403.81"
Estonia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,,"8,172.31","12,388.95","20,409.94","22,360.39","29,183.78"
Estonia,Output gap in percent of potential GDP,Percent of potential GDP,,-0.855,-0.951,5.06,-8.276,-2.063
Estonia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.03,0.034,0.041,0.033,0.034
Estonia,Implied PPP conversion rate,National currency per current international dollar,,0.244,0.357,0.41,0.495,0.537
Estonia,Total investment,Percent of GDP,,26.408,28.49,33.361,21.696,24.94
Estonia,Gross national savings,Percent of GDP,,20.299,23.08,24.682,23.479,26.714
Estonia,"Inflation, average consumer prices",Index,,38.163,58.224,69.293,87.963,100
Estonia,"Inflation, average consumer prices",Percent change,,29.003,3.932,4.117,2.741,0.068
Estonia,"Inflation, end of period consumer prices",Index,,41.58,59.65,70.18,90.04,99.01
Estonia,"Inflation, end of period consumer prices",Percent change,,28.871,5.036,3.663,5.421,-0.171
Estonia,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
Estonia,Volume of imports of goods and services,Percent change,,19.382,-5.352,16.7,21.255,-1.887
Estonia,Volume of Imports of goods,Percent change,,19.948,-8.141,14.773,23.224,-2.058
Estonia,Volume of exports of goods and services,Percent change,,19.371,-6.949,19.921,24.217,-1.502
Estonia,Volume of exports of goods,Percent change,,20.709,-14.378,26.73,34.853,-1.413
Estonia,Unemployment rate,Percent of total labor force,,9.645,14.602,8.031,16.707,6.185
Estonia,Employment,Persons,,0.633,0.585,0.616,0.568,0.641
Estonia,Population,Persons,,1.437,1.397,1.355,1.331,1.315
